,apx,apx-na,knapsack,MR,GeRt,GLp,GSw,BIN,intersection,n_points,apx_reward,apx_cost,apx-na_reward,apx-na_cost,knapsack_reward,knapsack_cost,MR_reward,MR_cost,GLp_reward,GLp_cost,GSw_reward,GSw_cost,GeRt_reward,GeRt_cost,BIN_reward,BIN_cost,#BIN
141,1.0,0.904,1.0,0.96,0.4742,0.9689,0.2766,0.7491,2.6863,50,3699,24375,3344,16357,3699,24144,3551,24396,3584,23058,1023,19349,1754,23948,2771,23672,92
142,1.0,0.8901,1.0,0.9516,0.4908,1.0,0.4053,0.7155,2.6863,50,5149,24275,4583,15858,5149,23730,4900,24440,5149,24319,2087,20163,2527,24120,3684,23285,95
143,1.0,0.9005,1.0,0.9576,0.4783,1.0,0.2467,0.7403,2.6863,50,3989,24276,3592,16245,3989,24043,3820,24316,3989,24333,984,20041,1908,23966,2953,22651,91
144,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,9.2353,50,1122,12930,1122,11058,1122,12977,1122,12930,1122,11511,0,19727,0,23474,1122,11788,26
145,1.0,0.9972,1.0,0.8547,0.0103,1.0,0.0103,0.9788,11.4314,50,3965,21733,3954,16158,3965,21083,3389,11820,3965,16633,41,18774,41,23180,3881,16961,75
146,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,9.3529,50,1093,12934,1093,11066,1093,12981,1093,12934,1093,11518,0,19695,0,23468,1093,11794,25
147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50,0,24606,0,24606,0,23516,0,24606,0,23656,0,20935,0,23656,0,24606,110
148,1.0,1.0,1.0,1.0,0.0,1.0,0.2286,1.0,1.3529,50,245,24596,245,21272,245,23557,245,23948,245,23582,56,20921,0,24128,245,21426,105
149,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,9.3529,50,1180,12870,1180,10998,1180,12917,1180,12870,1180,11451,0,19724,0,23502,1180,11728,25
150,1.0,1.0,1.0,0.8921,0.0,1.0,0.0,0.9512,10.9608,50,3095,19058,3095,14139,3095,18422,2761,12372,3095,14613,0,18383,0,24306,2944,17414,67
151,1.0,0.9958,1.0,0.8343,0.0156,1.0,0.0156,0.9827,11.902,50,4501,21591,4482,15938,4501,21066,3755,11694,4501,16412,70,19028,70,23497,4423,16737,71
152,1.0,0.9997,1.0,0.8812,0.0006,0.9997,0.0006,0.9634,11.1569,50,3332,21506,3331,15087,3332,21301,2936,12003,3331,15564,2,18496,2,23979,3210,17277,72
153,1.0,0.9978,1.0,0.8705,0.0047,0.9992,0.0047,0.9712,11.4314,50,3582,21424,3574,14969,3582,21219,3118,11927,3579,15445,17,18604,17,23509,3479,17145,70
154,1.0,0.9838,1.0,0.9177,0.2349,0.9838,0.0162,0.9621,11.4314,50,2771,21888,2726,14575,2771,20830,2543,15279,2726,15332,45,18295,651,24413,2666,18465,65
155,1.0,0.9838,1.0,0.9177,0.2349,0.9838,0.0162,0.9621,11.4314,50,2771,21888,2726,14575,2771,20830,2543,15279,2726,15332,45,18295,651,24413,2666,18465,65
156,0.9575,0.937,1.0,0.8866,0.0205,0.937,0.0987,0.8169,15.0,50,3404,18459,3331,14020,3555,18601,3152,11730,3331,14499,351,20355,73,23884,2904,17683,42
157,0.9597,0.9048,1.0,0.7447,0.069,0.9048,0.0549,0.9346,16.8431,50,6018,21405,5674,15536,6271,24314,4670,11298,5674,16362,344,19482,433,23520,5861,18155,40
158,0.9938,0.9797,1.0,0.8281,0.0154,0.9688,0.0389,0.9633,18.8039,50,5933,21334,5849,16869,5970,21198,4944,11157,5784,16335,232,19641,92,23931,5751,18293,40
159,1.0,0.9903,1.0,0.8612,0.0097,0.9815,0.0268,0.9848,17.3922,50,4928,21509,4880,17502,4928,21276,4244,11352,4837,16622,132,19163,48,23751,4853,17523,37
160,1.0,0.9473,1.0,0.7572,0.0192,0.9109,0.0527,0.9038,13.6667,50,5791,23833,5486,18821,5791,24671,4385,11369,5275,16472,305,19265,111,23527,5234,16453,49
161,0.9984,0.9922,1.0,0.8858,0.0062,0.9913,0.0175,0.9795,15.7451,50,4337,18391,4310,14925,4344,18297,3848,11489,4306,14851,76,18923,27,23411,4255,15486,42
162,1.0,0.9939,1.0,0.9653,0.2002,0.9939,0.0061,0.9305,10.7255,50,1958,19011,1946,13939,1958,18186,1890,15556,1946,14399,12,20103,392,24428,1822,19487,69
163,0.8426,0.8426,1.0,1.0,0.4162,0.9618,0.0514,0.9618,5.8235,50,1081,23383,1081,14746,1283,24541,1283,23765,1234,24123,66,19660,534,24172,1234,21319,88
164,0.9806,0.9797,1.0,1.0,0.4238,0.9017,0.1136,0.8371,2.8039,50,3383,24191,3380,15209,3450,23843,3450,23786,3111,22761,392,20127,1462,23764,2888,22722,95
165,1.0,1.0,1.0,0.9953,0.4479,1.0,0.1392,0.8845,2.4902,50,1688,24288,1688,15873,1688,24375,1680,24578,1688,23313,235,21322,756,24487,1493,23155,90
166,1.0,0.9961,1.0,0.9854,0.418,1.0,0.1533,0.8667,2.5686,50,2048,24342,2040,15605,2048,23895,2018,24303,2048,23616,314,19887,856,24503,1775,23063,87
