,apx,apx-na,knapsack,MR,GeRt,GLp,GSw,BIN,BIN_naive,intersection,n_points,apx_reward,apx_cost,apx-na_reward,apx-na_cost,knapsack_reward,knapsack_cost,MR_reward,MR_cost,GLp_reward,GLp_cost,GSw_reward,GSw_cost,GeRt_reward,GeRt_cost,BIN_reward,BIN_cost,BIN_naive_reward,BIN_naive_cost,#BIN
29,1.0,0.9065,1.0,0.7727,0.0126,0.9065,0.0176,0.8758,0.0,21.4474,75,5626,34352,5100,14197,5626,40156,4347,16051,5100,14197,99,45596,71,48687,4927,24127,0,6911,38
30,0.9847,0.8859,1.0,0.5724,0.0048,0.714,0.08,0.6244,0.0,21.4737,75,5909,42743,5316,23419,6001,48448,3435,17053,4285,21953,480,43334,29,48006,3747,27474,0,5814,33
31,1.0,0.9159,1.0,0.7989,0.0062,0.9159,0.0062,0.9159,0.0,20.7895,75,4390,34856,4021,14635,4390,40288,3507,16195,4021,14635,27,44999,27,48773,4021,22684,0,5757,31
32,0.9664,0.7944,1.0,0.6868,0.0,0.7944,0.0909,0.6688,0.0517,23.8421,75,5326,39391,4378,14476,5511,40180,3785,16605,4378,14476,501,43644,0,48818,3686,18246,285,8412,30
33,0.9481,0.8553,1.0,0.7357,0.0119,0.8318,0.1915,0.8428,0.1722,27.1842,75,7913,34496,7138,16194,8346,34957,6140,11408,6942,12785,1598,44652,99,48705,7034,22948,1437,6865,29
34,0.8969,0.7481,0.9943,0.5607,0.1069,0.6829,0.1895,0.6438,0.0331,27.2895,75,11398,48988,9507,26708,12635,41444,7126,9131,8678,13653,2408,43494,1358,48095,8182,17544,420,7348,30
35,0.953,0.8813,1.0,0.7847,0.0198,0.8789,0.1289,0.9119,0.0,27.2105,75,6069,34588,5612,16572,6368,35141,4997,11637,5597,13163,821,44783,126,48691,5807,30008,0,5437,22
36,0.9554,0.7571,0.9977,0.6431,0.0349,0.7562,0.1389,0.6659,0.0613,24.2105,75,6595,48687,5226,19664,6887,47858,4439,16532,5220,14155,959,44857,241,48198,4597,18908,423,8510,30
37,0.9346,0.8272,1.0,0.6913,0.1436,0.7902,0.1503,0.7068,0.1642,32.8684,75,10462,35024,9260,15988,11194,42324,7738,11313,8845,13274,1682,43454,1608,47465,7912,15804,1838,5135,30
38,0.9827,0.8732,0.9928,0.6782,0.059,0.84,0.136,0.8119,0.0503,33.2105,75,22045,39997,19590,21966,22273,41487,15215,10809,18845,18283,3052,42169,1323,45437,18214,23214,1128,8371,35
39,1.0,0.9435,1.0,0.7713,0.0206,0.9435,0.123,0.9416,0.0,39.8158,75,24852,33757,23447,17967,24852,34740,19168,11206,23447,17967,3056,42837,513,48617,23400,22650,0,9112,30
40,0.9696,0.8651,1.0,0.7059,0.0146,0.8651,0.1437,0.8266,0.2592,29.8684,75,30306,37106,27039,25385,31255,42872,22064,16237,27039,25385,4490,42761,455,48461,25836,29559,8101,21355,55
41,0.9681,0.8639,1.0,0.7046,0.0146,0.8639,0.1438,0.826,0.259,29.8684,75,29987,36502,26758,24982,30975,42639,21825,15979,26758,24982,4455,42180,451,47828,25585,29088,8022,21050,55
42,0.9452,0.8202,0.9919,0.6637,0.0217,0.8163,0.1465,0.7846,0.2086,31.2895,75,28357,42704,24608,28842,29757,48862,19911,14102,24491,22043,4395,40845,651,48831,23539,31320,6257,13233,41
43,0.9501,0.8408,1.0,0.6848,0.0143,0.8408,0.1491,0.8058,0.2526,30.1579,75,29119,35238,25767,23634,30647,42708,20986,15115,25767,23634,4568,43462,437,47408,24696,27510,7741,20019,50
44,0.9335,0.7681,0.9765,0.6162,0.0218,0.7609,0.14,0.7346,0.1921,32.0526,75,26406,40606,21727,24732,27623,48245,17430,12135,21525,20647,3959,43911,617,48617,20780,26275,5434,10005,41
45,0.9338,0.8261,1.0,0.6725,0.0143,0.8261,0.1468,0.8255,0.1097,31.2895,75,28808,36444,25485,23266,30851,48300,20747,14880,25485,23266,4528,42867,442,48517,25468,30233,3385,17362,45
46,0.9899,0.9428,1.0,0.7582,0.0258,0.9428,0.1299,0.906,0.0367,39.8158,75,22065,33849,21016,16376,22291,34699,16901,12639,21016,16376,2895,41744,576,48361,20196,33044,817,7661,31
47,0.9523,0.7425,1.0,0.5876,0.0519,0.7292,0.1603,0.7047,0.0387,32.0526,75,22203,48863,17311,27777,23315,46582,13701,10129,17002,17035,3737,42832,1211,48339,16430,21061,903,6870,35
48,0.9519,0.7372,1.0,0.5881,0.0768,0.7292,0.1604,0.7434,0.0596,32.0526,75,23307,41852,18049,20980,24484,48277,14399,10421,17853,17575,3927,41885,1881,48887,18201,24447,1460,8689,35
