,seed,num_deliveries,max_len_road,max_interval_len,max_profit,max_weight,drone_battery,drone_load,height,distance,algorithm,solution_space,iterations,energy_unit_cost,energy_per_delivery,total_profit_avg,total_profit_std,total_energy_avg,total_energy_std,total_flights_avg,total_flights_std
336,31,40,100,2,10,5,5000,10,0.5,1,2,1,33,50,0,233.545,18.5827,4836.58,191.954,20.2424,2.03101
337,67,90,100,2,10,5,2500,10,0.5,1,3,1,33,50,0,193.909,10.0634,2450.75,38.8848,12.9697,1.88746
338,11,20,100,2,10,5,2500,10,0.5,1,2,1,33,50,0,111.606,15.6064,2476.03,47.1484,12.3636,1.27475
339,20,30,100,2,10,1,5000,5,0.5,1,2,1,33,50,0,166.121,14.6815,4407.36,360.917,10.9091,1.95256
340,24,40,100,2,10,1,2500,5,0.5,1,0,1,33,50,0,184.485,13.7139,2485.14,11.5735,10.8485,1.39194
341,22,30,100,2,10,5,5000,5,0.5,1,6,1,33,50,0,143.333,18.3485,3544.84,267.838,21.4242,1.87083
342,3,10,100,2,10,5,2500,10,0.5,1,3,1,33,50,0,53.5152,8.30332,1583.0,269.742,8.57576,2.03869
343,52,70,100,2,10,1,5000,5,0.5,1,2,1,33,50,0,387.758,31.498,4995.09,5.37566,19.9394,1.81142
344,12,20,100,2,10,1,5000,5,0.5,1,6,1,33,50,0,111.455,11.3388,2566.16,205.206,14.9091,1.76777
345,71,90,100,2,10,5,5000,10,0.5,1,6,1,33,50,0,424.667,26.1075,4952.0,39.924,25.2121,0.984251
346,47,60,100,2,10,5,5000,10,0.5,1,8,1,33,50,0,224.485,18.2005,4958.29,30.5682,31.7576,0.951972
347,56,80,100,2,10,1,2500,5,0.5,1,2,1,33,50,0,280.97,18.445,2494.18,4.75299,10.1515,0.918559
348,79,100,100,2,10,5,5000,10,0.5,1,8,1,33,50,0,269.636,9.4994,4982.99,15.9948,32.1818,0.5
349,40,60,100,2,10,1,2500,5,0.5,1,2,1,33,50,0,236.0,11.4373,2495.24,3.63172,9.90909,1.22474
350,22,30,100,2,10,5,5000,5,0.5,1,0,1,33,50,0,146.455,18.9722,4021.0,346.376,19.4545,1.8456
351,38,50,100,2,10,5,5000,5,0.5,1,3,1,33,50,0,196.515,20.0891,4883.96,183.306,29.3333,2.80067
352,30,40,100,2,10,5,5000,5,0.5,1,3,1,33,50,0,171.848,21.5408,4739.98,258.307,28.5455,1.92029
353,0,10,100,2,10,1,2500,5,0.5,1,6,1,33,50,0,51.5758,9.66317,1434.08,126.554,8.54545,1.06066
354,35,50,100,2,10,5,2500,10,0.5,1,8,1,33,50,0,134.97,8.52381,2481.02,18.5019,16.1818,0.433013
355,34,50,100,2,10,5,2500,5,0.5,1,8,1,33,50,0,137.485,7.62037,2481.48,21.659,16.1212,0.433013
356,53,70,100,2,10,1,5000,10,0.5,1,3,1,33,50,0,307.758,20.5579,4862.04,142.226,17.1212,10.0809
